1 はずれ
左1→中2→右13 ×
左1→中19→右1 ×
左1→右1→中10 ×
左1→右6→中10 ×
左1→右8→中10 ×
左1→右11→中10 ×
左1→右13→中10 ×
左1→右14→中10 ×
左1→右17→中10 ×
左1→右18→中10 ×
左1→右20→中19 ×
左2→中3→右1 ×
左2→中7→右20 ×
左2→中9→右9 ×
左2→中12→右20 ×
左2→中17→右1 ×
左2→中20→右1 ×
左3→右11→中20 ×
左5→中3→右20 ×
左5→中7→右20 ×
左5→中12→右20 ×
左5→中17→右20 ×
左5→中20→右20 ×
左6→中3→右19 ×
左6→中17→右19 ×
左6→中20→右19 ×
左6→右1→中6 ×
左6→右6→中6 ×
左6→右11→中6 ×
左6→右18→中6 ×
左6→右20→中8 ×
左7→右8→中10 ×
左7→右11→中6 ×
左7→右13→中10 ×
左7→右15→中6 ×
左7→右17→中10 ×
左7→右20→中10 ×
左8→中2→右5 ×
左8→中3→右14 ×
左8→中6→右5 ×
左8→中11→右5 ×
左8→中12→右14 ×
左8→中16→右5 ×
左8→中17→右14 ×
左8→中19→右5 ×
左8→中20→右14 ×
左8→右4→中10 ×
左8→右9→中10 ×
左8→右12→中10 ×
左8→右16→中10 ×
左8→右20→中9 ×
左9→右11→中20 ×
左9→右14→中20 ×
左13→右1→中20 ×
左13→右4→中1 ×
左13→右6→中20 ×
左13→右9→中1 ×
左13→右11→中20 ×
左13→右12→中1 ×
左13→右16→中1 ×
左13→右18→中20 ×
左13→右20→中1 ×
左14→中10→右9 ×
左14→右1→中6 ×
左14→右5→中20 ×
左14→右6→中6 ×
左14→右8→中10 ×
左14→右9→中21 ×
左14→右13→中10 ×
左14→右14→中21 ×
左14→右17→中10 ×
左14→右18→中6 ×
左14→右20→中21 ×
左14→右21→中20 ×
左15→中11→右5 ×
左15→中19→右5 ×
左15→右1→中9 ×
左15→右4→中19 ×
左15→右6→中9 ×
左15→右9→中19 ×
左15→右11→中9 ×
左15→右14→中9 ×
左15→右18→中9 ×
左15→右20→中19 ×
左20→中3→右19 ×
左20→中5→右5 ×
左20→中17→右19 ×
左20→中20→右19 ×
左20→右1→中6 ×
左20→右2→中1 ×
左20→右6→中6 ×
左20→右8→中10 ×
左20→右11→中6 ×
左20→右13→中10 ×
左20→右15→中1 ×
左20→右17→中10 ×
左20→右18→中6 ×
左20→右19→中21 ×
左20→右20→中8 ×
左20→右19 ×
左21→右1→中10 ×
左21→右6→中10 ×
左21→右13→中20 ×
左21→右14→中10 ×
左21→右17→中20 ×
左21→右18→中10 ×
左20で詰みました
